Data,Tempo,Velocidade,Direção
2021-07-01,00:00:00,,160
2021-07-01,01:00:00,,149
2021-07-01,02:00:00,,244
2021-07-01,03:00:00,,237
2021-07-01,04:00:00,,248
2021-07-01,05:00:00,,258
2021-07-01,06:00:00,,253
2021-07-01,07:00:00,,235
2021-07-01,08:00:00,,239
2021-07-01,09:00:00,,259
2021-07-01,10:00:00,,257
2021-07-01,11:00:00,,300
2021-07-01,12:00:00,1,268
2021-07-01,13:00:00,1,252
2021-07-01,14:00:00,1,293
2021-07-01,15:00:00,1,255
2021-07-01,16:00:00,1,213
2021-07-01,17:00:00,1,142
2021-07-01,18:00:00,1,281
2021-07-01,19:00:00,1,246
2021-07-01,20:00:00,1,322
2021-07-01,21:00:00,,296
2021-07-01,22:00:00,,296
2021-07-01,23:00:00,,46
2021-07-02,00:00:00,,20
2021-07-02,01:00:00,,322
2021-07-02,02:00:00,,130
2021-07-02,03:00:00,,26
2021-07-02,04:00:00,,285
2021-07-02,05:00:00,,218
2021-07-02,06:00:00,,144
2021-07-02,07:00:00,,316
2021-07-02,08:00:00,,121
2021-07-02,09:00:00,,83
2021-07-02,10:00:00,,332
2021-07-02,11:00:00,,298
2021-07-02,12:00:00,,325
2021-07-02,13:00:00,1,5
2021-07-02,14:00:00,1,2
2021-07-02,15:00:00,1,292
2021-07-02,16:00:00,,272
2021-07-02,17:00:00,2,36
2021-07-02,18:00:00,2,8
2021-07-02,19:00:00,2,352
2021-07-02,20:00:00,2,11
2021-07-02,21:00:00,1,8
2021-07-02,22:00:00,,310
2021-07-02,23:00:00,,285
2021-07-03,00:00:00,,231
2021-07-03,01:00:00,1,166
2021-07-03,02:00:00,1,77
2021-07-03,03:00:00,,306
2021-07-03,04:00:00,,107
2021-07-03,05:00:00,,347
2021-07-03,06:00:00,,178
2021-07-03,07:00:00,,132
2021-07-03,08:00:00,,273
2021-07-03,09:00:00,,309
2021-07-03,10:00:00,,316
2021-07-03,11:00:00,,345
2021-07-03,12:00:00,,302
2021-07-03,13:00:00,,257
2021-07-03,14:00:00,,316
2021-07-03,15:00:00,1,248
2021-07-03,16:00:00,1,157
2021-07-03,17:00:00,2,169
2021-07-03,18:00:00,1,230
2021-07-03,19:00:00,1,223
2021-07-03,20:00:00,1,197
2021-07-03,21:00:00,2,180
2021-07-03,22:00:00,,224
2021-07-03,23:00:00,,269
2021-07-04,00:00:00,,243
2021-07-04,01:00:00,,222
2021-07-04,02:00:00,,69
2021-07-04,03:00:00,,99
2021-07-04,04:00:00,1,288
2021-07-04,05:00:00,,286
2021-07-04,06:00:00,,108
2021-07-04,07:00:00,,101
2021-07-04,08:00:00,,107
2021-07-04,09:00:00,,297
2021-07-04,10:00:00,,86
2021-07-04,11:00:00,,51
2021-07-04,12:00:00,,284
2021-07-04,13:00:00,,172
2021-07-04,14:00:00,,257
2021-07-04,15:00:00,1,166
2021-07-04,16:00:00,2,207
2021-07-04,17:00:00,1,131
2021-07-04,18:00:00,1,140
2021-07-04,19:00:00,1,170
2021-07-04,20:00:00,2,184
2021-07-04,21:00:00,,165
2021-07-04,22:00:00,,217
2021-07-04,23:00:00,,31
2021-07-05,00:00:00,,170
2021-07-05,01:00:00,,326
2021-07-05,02:00:00,,139
2021-07-05,03:00:00,,89
2021-07-05,04:00:00,,298
2021-07-05,05:00:00,,326
2021-07-05,06:00:00,,200
2021-07-05,07:00:00,1,286
2021-07-05,08:00:00,,353
2021-07-05,09:00:00,,123
2021-07-05,10:00:00,,331
2021-07-05,11:00:00,,93
2021-07-05,12:00:00,,233
2021-07-05,13:00:00,,304
2021-07-05,14:00:00,1,359
2021-07-05,15:00:00,1,3
2021-07-05,16:00:00,1,84
2021-07-05,17:00:00,1,208
2021-07-05,18:00:00,1,268
2021-07-05,19:00:00,1,275
2021-07-05,20:00:00,1,322
2021-07-05,21:00:00,,175
2021-07-05,22:00:00,,155
2021-07-05,23:00:00,,230
2021-07-06,00:00:00,,214
2021-07-06,01:00:00,,150
2021-07-06,02:00:00,,171
2021-07-06,03:00:00,,90
2021-07-06,04:00:00,,322
2021-07-06,05:00:00,,326
2021-07-06,06:00:00,,190
2021-07-06,07:00:00,,356
2021-07-06,08:00:00,,324
2021-07-06,09:00:00,,288
2021-07-06,10:00:00,,329
2021-07-06,11:00:00,,241
2021-07-06,12:00:00,,200
2021-07-06,13:00:00,,154
2021-07-06,14:00:00,,201
2021-07-06,15:00:00,1,146
2021-07-06,16:00:00,1,210
2021-07-06,17:00:00,1,251
2021-07-06,18:00:00,1,284
2021-07-06,19:00:00,1,189
2021-07-06,20:00:00,,259
2021-07-06,21:00:00,,226
2021-07-06,22:00:00,,164
